2025-06-22 09:36:23 | INFO     | __main__:train_model:157 | Starting model training
2025-06-22 09:36:23 | INFO     | __main__:load_case_dataset:37 | Loading case dataset from: data/processed/case_dataset.json
2025-06-22 09:36:24 | INFO     | __main__:load_case_dataset:42 | Loaded dataset with 13853 cases
2025-06-22 09:36:24 | INFO     | __main__:get_tokenized_file_paths:110 | Using tokenized files - Bios: data\processed\encoded_bios.pkl, Descriptions: data\processed\encoded_descriptions.pkl
2025-06-22 09:36:24 | INFO     | __main__:split_dataset:74 | Dataset split - Train: 9697, Val: 2078, Test: 2078
2025-06-22 09:37:15 | INFO     | __main__:train_model:157 | Starting model training
2025-06-22 09:37:15 | INFO     | __main__:load_case_dataset:37 | Loading case dataset from: data/processed/case_dataset.json
2025-06-22 09:37:15 | INFO     | __main__:load_case_dataset:42 | Loaded dataset with 13853 cases
2025-06-22 09:37:15 | INFO     | __main__:get_tokenized_file_paths:110 | Using tokenized files - Bios: data\processed\encoded_bios.pkl, Descriptions: data\processed\encoded_descriptions.pkl
2025-06-22 09:37:15 | INFO     | __main__:split_dataset:74 | Dataset split - Train: 9697, Val: 2078, Test: 2078
2025-06-22 13:39:45 | INFO     | __main__:train_model:175 | Starting model training
2025-06-22 13:39:45 | INFO     | __main__:load_case_dataset:37 | Loading case dataset from: data/processed/case_dataset.json
2025-06-22 13:39:45 | INFO     | __main__:load_case_dataset:42 | Loaded dataset with 13853 cases
2025-06-22 13:39:45 | INFO     | __main__:get_tokenized_file_paths:108 | Using tokenized files - Bios: data/processed/encoded_bios.pkl, Descriptions: data/processed/encoded_descriptions.pkl
2025-06-22 13:39:45 | INFO     | __main__:split_dataset:74 | Dataset split - Train: 9697, Val: 2078, Test: 2078
2025-06-22 13:43:33 | INFO     | __main__:train_model:215 | Model loaded with 36 biography and 8500 description tokenizations
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2020-002-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2015-046-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2020-038-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2019-037-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2019-044-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2016-026-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 1954-055-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2005-066-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2018-058-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2017-022-02-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 1952-128-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2019-043-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2020-013-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2021-053-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2020-018-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2015-065-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 1993-057-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2023-034-02-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2016-027-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2022-058-02-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2017-020-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2022-046-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2015-042-02-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2022-052-02-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 1955-104-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 1991-003-14-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2020-015-01-02: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 2020-061-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 1991-019-01-01: Missing case description path.
2025-06-22 13:43:33 | WARNING  | __main__:prepare_dataset_dict:148 | Skipping case 1995-009-01-01: Missing case description path.
